ROI,Sequence,Approach,MD
Splenium,NowLteDetuned,QTI,0.816155
Splenium,NowLteDetuned,QTI,0.7701587
Splenium,NowLteDetuned,QTI,0.6896724
Splenium,NowLteDetuned,QTI,1.0014429
Splenium,NowLteDetuned,QTI,0.8083698
Splenium,NowLteDetuned,QTI,0.79622185
Splenium,NowLteDetuned,QTI,0.8015939
Splenium,NowLteDetuned,QTI,0.80627275
Splenium,NowLteDetuned,QTI,0.7498271
Splenium,NowLteDetuned,QTI,0.6863078
Splenium,NowLteDetuned,QTI,0.70048344
Splenium,NowLteDetuned,QTI,0.71980876
Splenium,NowLteDetuned,QTI,0.7779725
Splenium,NowLteDetuned,QTI,0.7705488
Splenium,NowLteDetuned,QTI,0.7347511
Splenium,NowLteDetuned,QTI,0.6976537
Splenium,NowLteDetuned,QTI,0.71942806
Splenium,NowLteDetuned,QTI,0.7517957
Splenium,NowLteDetuned,QTI,0.8050744
Splenium,NowLteDetuned,QTI,0.69287735
Splenium,NowLteDetuned,QTI,0.7068986
Splenium,NowLteDetuned,QTI,0.7287443
Splenium,NowLteDetuned,QTI,0.7467687
Splenium,NowLteDetuned,QTI,0.74909526
Splenium,NowLteDetuned,QTI,0.76319516
Splenium,NowLteDetuned,QTI,0.80331534
Splenium,NowLteDetuned,QTI,1.1815802
Splenium,NowLteDetuned,QTI,0.9535926
Splenium,NowLteDetuned,QTI,0.7884876
Splenium,NowLteDetuned,QTI,0.7363308
Splenium,NowLteDetuned,QTI,0.7275974
Splenium,NowLteDetuned,QTI,0.756549
Splenium,NowLteDetuned,QTI,0.77678394
Splenium,NowLteDetuned,QTI,0.80059224
Splenium,NowLteDetuned,QTI,1.3851758
Splenium,NowLteDetuned,QTI,0.9643032
Splenium,NowLteDetuned,QTI,0.73851496
Splenium,NowLteDetuned,QTI,0.63672984
Splenium,NowLteDetuned,QTI,0.7423701
Splenium,NowLteDetuned,QTI,0.7996498
Splenium,NowLteDetuned,QTI,0.80291975
Splenium,NowLteDetuned,QTI,0.80275714
Splenium,NowLteDetuned,QTI,0.80041057
Splenium,NowLteDetuned,QTI,0.7281924
Splenium,NowLteDetuned,QTI,0.55979353
Splenium,NowLteDetuned,QTI,0.7237692
Splenium,NowLteDetuned,QTI,0.80058664
Splenium,NowLteDetuned,QTI,0.7905847
Splenium,NowLteDetuned,QTI,0.78648543
Splenium,NowLteDetuned,QTI,0.7835266
Splenium,NowLteDetuned,QTI,0.4923003
Splenium,NowLteDetuned,QTI,0.69442487
Splenium,NowLteDetuned,QTI,0.7716686
Splenium,NowLteDetuned,QTI,0.7531509
Splenium,NowLteDetuned,QTI,0.7694252
Splenium,NowLteDetuned,QTI,0.80195576
Splenium,NowLteDetuned,QTI,0.772465
Splenium,NowLteDetuned,QTI,0.801297
Splenium,NowLteDetuned,QTI,0.72500896
Splenium,NowLteDetuned,QTI,0.75198585
Splenium,NowLteDetuned,QTI,0.8134389
Splenium,NowLteDetuned,QTI,0.91489744
Splenium,NowLteDetuned,QTI,0.8617641
Splenium,NowLteDetuned,QTI,0.6861497
Splenium,NowLteDetuned,QTI,0.71712923
Splenium,NowLteDetuned,QTI,0.79214257
Splenium,NowLteDetuned,QTI,0.863352
Splenium,NowLteDetuned,QTI,0.8001454
Splenium,NowLteDetuned,QTI,0.694135
Splenium,NowLteDetuned,QTI,0.72214586
Splenium,NowLteDetuned,QTI,0.7749931
Splenium,NowLteDetuned,QTI,0.6991323
Splenium,NowLteDetuned,QTI,0.7648669
Splenium,NowLteDetuned,QTI,0.76100576
Splenium,NowLteDetuned,QTI,0.7623876
Splenium,NowLteDetuned,QTI,0.81124675
