ROI,Sequence,Approach,MD
Splenium,dti,dti,0.0007314725
Splenium,dti,dti,0.00068454293
Splenium,dti,dti,0.00069899304
Splenium,dti,dti,0.0007246489
Splenium,dti,dti,0.00071944034
Splenium,dti,dti,0.0006897249
Splenium,dti,dti,0.0007089384
Splenium,dti,dti,0.0007461399
Splenium,dti,dti,0.0007390687
Splenium,dti,dti,0.00073085376
Splenium,dti,dti,0.00072018267
Splenium,dti,dti,0.0007538432
Splenium,dti,dti,0.0007495523
Splenium,dti,dti,0.0007431685
Splenium,dti,dti,0.0007265484
Splenium,dti,dti,0.0007552209
Splenium,dti,dti,0.0007540864
Splenium,dti,dti,0.0007270267
Splenium,dti,dti,0.0007048551
Splenium,dti,dti,0.0007519357
Splenium,dti,dti,0.00075168215
Splenium,dti,dti,0.0007165031
Splenium,dti,dti,0.0007517395
Splenium,dti,dti,0.00075607526
Splenium,dti,dti,0.00073847565
Splenium,dti,dti,0.0007375165
Splenium,dti,dti,0.0007438872
Splenium,dti,dti,0.00074855617
Splenium,dti,dti,0.0007275688
Splenium,dti,dti,0.00075418316
Splenium,dti,dti,0.00074945495
Splenium,dti,dti,0.000723387
Splenium,dti,dti,0.0007245225
Splenium,dti,dti,0.0007373358
Splenium,dti,dti,0.0007345691
Splenium,dti,dti,0.00073268294
Splenium,dti,dti,0.00073858845
Splenium,dti,dti,0.0007550855
Splenium,dti,dti,0.00074398995
Splenium,dti,dti,0.0007144696
Splenium,dti,dti,0.0007189953
Splenium,dti,dti,0.00073764
Splenium,dti,dti,0.000731041
Splenium,dti,dti,0.0007194207
Splenium,dti,dti,0.0007193309
Splenium,dti,dti,0.00072087464
Splenium,dti,dti,0.0007634994
Splenium,dti,dti,0.0007513118
Splenium,dti,dti,0.0007426755
Splenium,dti,dti,0.0007382627
Splenium,dti,dti,0.0007254824
Splenium,dti,dti,0.00070700457
Splenium,dti,dti,0.00072246155
Splenium,dti,dti,0.0007511196
Splenium,dti,dti,0.000749547
Splenium,dti,dti,0.00074196083
Splenium,dti,dti,0.000731765
Splenium,dti,dti,0.0007230778
