ROI,Sequence,Approach,FA
Splenium,NowLteDetuned,QTI,0.5866509
Splenium,NowLteDetuned,QTI,0.482617
Splenium,NowLteDetuned,QTI,0.42040226
Splenium,NowLteDetuned,QTI,0.510085
Splenium,NowLteDetuned,QTI,0.60561305
Splenium,NowLteDetuned,QTI,0.65394604
Splenium,NowLteDetuned,QTI,0.62446177
Splenium,NowLteDetuned,QTI,0.58366746
Splenium,NowLteDetuned,QTI,0.51613677
Splenium,NowLteDetuned,QTI,0.44221982
Splenium,NowLteDetuned,QTI,0.36327535
Splenium,NowLteDetuned,QTI,0.64927566
Splenium,NowLteDetuned,QTI,0.708748
Splenium,NowLteDetuned,QTI,0.65509015
Splenium,NowLteDetuned,QTI,0.607321
Splenium,NowLteDetuned,QTI,0.55919814
Splenium,NowLteDetuned,QTI,0.495783
Splenium,NowLteDetuned,QTI,0.4191326
Splenium,NowLteDetuned,QTI,0.79712987
Splenium,NowLteDetuned,QTI,0.72126174
Splenium,NowLteDetuned,QTI,0.66296357
Splenium,NowLteDetuned,QTI,0.6145877
Splenium,NowLteDetuned,QTI,0.55173904
Splenium,NowLteDetuned,QTI,0.4781575
Splenium,NowLteDetuned,QTI,0.7281423
Splenium,NowLteDetuned,QTI,0.6884986
Splenium,NowLteDetuned,QTI,0.66905963
Splenium,NowLteDetuned,QTI,0.6081106
Splenium,NowLteDetuned,QTI,0.5332153
Splenium,NowLteDetuned,QTI,0.70296055
Splenium,NowLteDetuned,QTI,0.7011602
Splenium,NowLteDetuned,QTI,0.7350297
Splenium,NowLteDetuned,QTI,0.6675168
Splenium,NowLteDetuned,QTI,0.57976985
Splenium,NowLteDetuned,QTI,0.7231052
Splenium,NowLteDetuned,QTI,0.72957534
Splenium,NowLteDetuned,QTI,0.75048035
Splenium,NowLteDetuned,QTI,0.6882756
Splenium,NowLteDetuned,QTI,0.6132956
Splenium,NowLteDetuned,QTI,0.75693315
Splenium,NowLteDetuned,QTI,0.7200348
Splenium,NowLteDetuned,QTI,0.67842877
Splenium,NowLteDetuned,QTI,0.6348461
Splenium,NowLteDetuned,QTI,0.6891769
