ROI,Sequence,Approach,uFA
Splenium,NowLteDetuned,QTI,0.92315644
Splenium,NowLteDetuned,QTI,0.8600857
Splenium,NowLteDetuned,QTI,0.769737
Splenium,NowLteDetuned,QTI,0.6730763
Splenium,NowLteDetuned,QTI,0.87405723
Splenium,NowLteDetuned,QTI,0.95922506
Splenium,NowLteDetuned,QTI,0.9704867
Splenium,NowLteDetuned,QTI,0.9158964
Splenium,NowLteDetuned,QTI,0.84423
Splenium,NowLteDetuned,QTI,0.7607645
Splenium,NowLteDetuned,QTI,0.7209835
Splenium,NowLteDetuned,QTI,0.9189818
Splenium,NowLteDetuned,QTI,0.86089724
Splenium,NowLteDetuned,QTI,0.7255415
Splenium,NowLteDetuned,QTI,0.8287141
Splenium,NowLteDetuned,QTI,0.6460869
Splenium,NowLteDetuned,QTI,0.6653
Splenium,NowLteDetuned,QTI,0.6794266
Splenium,NowLteDetuned,QTI,0.7011842
Splenium,NowLteDetuned,QTI,0.52888024
Splenium,NowLteDetuned,QTI,0.603204
Splenium,NowLteDetuned,QTI,0.57418984
Splenium,NowLteDetuned,QTI,0.5497504
Splenium,NowLteDetuned,QTI,0.6720238
Splenium,NowLteDetuned,QTI,0.6539578
Splenium,NowLteDetuned,QTI,0.60629725
Splenium,NowLteDetuned,QTI,0.5549283
Splenium,NowLteDetuned,QTI,0.7323489
Splenium,NowLteDetuned,QTI,0.69715726
Splenium,NowLteDetuned,QTI,0.63462234
Splenium,NowLteDetuned,QTI,0.5744916
Splenium,NowLteDetuned,QTI,0.7280275
Splenium,NowLteDetuned,QTI,0.663591
Splenium,NowLteDetuned,QTI,0.61333525
Splenium,NowLteDetuned,QTI,0.67487395
Splenium,NowLteDetuned,QTI,0.6878408
Splenium,NowLteDetuned,QTI,0.7269654
Splenium,NowLteDetuned,QTI,0.86822665
Splenium,NowLteDetuned,QTI,0.9079
Splenium,NowLteDetuned,QTI,0.8664307
Splenium,NowLteDetuned,QTI,0.8841979
Splenium,NowLteDetuned,QTI,0.9045539
Splenium,NowLteDetuned,QTI,0.91439205
Splenium,NowLteDetuned,QTI,0.92791855
Splenium,NowLteDetuned,QTI,0.94790465
Splenium,NowLteDetuned,QTI,0.8814838
Splenium,NowLteDetuned,QTI,0.8933707
Splenium,NowLteDetuned,QTI,0.91078055
Splenium,NowLteDetuned,QTI,0.9255349
Splenium,NowLteDetuned,QTI,0.9431241
