ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.17498955
Splenium,NowLteDetuned,QTI,0.1010091
Splenium,NowLteDetuned,QTI,0.06310702
Splenium,NowLteDetuned,QTI,0.062080156
Splenium,NowLteDetuned,QTI,0.069878615
Splenium,NowLteDetuned,QTI,0.085154176
Splenium,NowLteDetuned,QTI,0.13390987
Splenium,NowLteDetuned,QTI,0.20297626
Splenium,NowLteDetuned,QTI,0.11818521
Splenium,NowLteDetuned,QTI,0.09669814
Splenium,NowLteDetuned,QTI,0.13063875
Splenium,NowLteDetuned,QTI,0.23501179
Splenium,NowLteDetuned,QTI,0.15849803
Splenium,NowLteDetuned,QTI,0.30807227
Splenium,NowLteDetuned,QTI,0.30628958
Splenium,NowLteDetuned,QTI,0.28460872
Splenium,NowLteDetuned,QTI,0.22579803
Splenium,NowLteDetuned,QTI,0.29960787
Splenium,NowLteDetuned,QTI,0.2975992
Splenium,NowLteDetuned,QTI,0.29429078
Splenium,NowLteDetuned,QTI,0.29244247
Splenium,NowLteDetuned,QTI,0.30992258
Splenium,NowLteDetuned,QTI,0.304865
Splenium,NowLteDetuned,QTI,0.29794887
Splenium,NowLteDetuned,QTI,0.2927596
Splenium,NowLteDetuned,QTI,0.2684547
Splenium,NowLteDetuned,QTI,0.29550105
Splenium,NowLteDetuned,QTI,0.2883045
Splenium,NowLteDetuned,QTI,0.28268838
Splenium,NowLteDetuned,QTI,0.27389
Splenium,NowLteDetuned,QTI,0.2634565
Splenium,NowLteDetuned,QTI,0.25757217
Splenium,NowLteDetuned,QTI,0.22562182
Splenium,NowLteDetuned,QTI,0.24218552
Splenium,NowLteDetuned,QTI,0.2259624
Splenium,NowLteDetuned,QTI,0.036579017
Splenium,NowLteDetuned,QTI,0.038191695
Splenium,NowLteDetuned,QTI,0.0077572777
Splenium,NowLteDetuned,QTI,0.022699859
Splenium,NowLteDetuned,QTI,0.034457393
Splenium,NowLteDetuned,QTI,0.041879773
Splenium,NowLteDetuned,QTI,0.04606662
Splenium,NowLteDetuned,QTI,0.038427368
Splenium,NowLteDetuned,QTI,0.0075829723
Splenium,NowLteDetuned,QTI,0.01974551
Splenium,NowLteDetuned,QTI,0.025911007
Splenium,NowLteDetuned,QTI,0.023120545
Splenium,NowLteDetuned,QTI,0.024800168
Splenium,NowLteDetuned,QTI,0.029656164
Splenium,NowLteDetuned,QTI,0.04193811
