ROI,Sequence,Approach,FA
Splenium,dti,dti,0.71938336
Splenium,dti,dti,0.71055496
Splenium,dti,dti,0.6931676
Splenium,dti,dti,0.6750779
Splenium,dti,dti,0.65216064
Splenium,dti,dti,0.62337655
Splenium,dti,dti,0.5783392
Splenium,dti,dti,0.5201998
Splenium,dti,dti,0.7100834
Splenium,dti,dti,0.72799605
Splenium,dti,dti,0.7125348
Splenium,dti,dti,0.69611084
Splenium,dti,dti,0.6735004
Splenium,dti,dti,0.6480351
Splenium,dti,dti,0.6143041
Splenium,dti,dti,0.5603505
Splenium,dti,dti,0.7126888
Splenium,dti,dti,0.7821929
Splenium,dti,dti,0.76315343
Splenium,dti,dti,0.7417774
Splenium,dti,dti,0.7074972
Splenium,dti,dti,0.67515135
Splenium,dti,dti,0.6470889
Splenium,dti,dti,0.5990588
Splenium,dti,dti,0.6536988
Splenium,dti,dti,0.75973153
Splenium,dti,dti,0.7553147
Splenium,dti,dti,0.74771154
Splenium,dti,dti,0.7284324
Splenium,dti,dti,0.70379585
Splenium,dti,dti,0.66502035
Splenium,dti,dti,0.6165797
Splenium,dti,dti,0.56705225
Splenium,dti,dti,0.69247735
Splenium,dti,dti,0.7144515
Splenium,dti,dti,0.732672
Splenium,dti,dti,0.7423051
Splenium,dti,dti,0.7334999
Splenium,dti,dti,0.67750615
Splenium,dti,dti,0.62638545
Splenium,dti,dti,0.52667415
Splenium,dti,dti,0.68892795
Splenium,dti,dti,0.76994586
Splenium,dti,dti,0.7629424
Splenium,dti,dti,0.74339783
Splenium,dti,dti,0.6909777
Splenium,dti,dti,0.64673406
Splenium,dti,dti,0.61374575
Splenium,dti,dti,0.56646
Splenium,dti,dti,0.5067461
Splenium,dti,dti,0.4316358
Splenium,dti,dti,0.7034205
Splenium,dti,dti,0.6681349
Splenium,dti,dti,0.64574206
Splenium,dti,dti,0.6066222
Splenium,dti,dti,0.5533915
Splenium,dti,dti,0.48191535
Splenium,dti,dti,0.7185891
Splenium,dti,dti,0.6895089
Splenium,dti,dti,0.65856254
Splenium,dti,dti,0.6253981
Splenium,dti,dti,0.5860532
Splenium,dti,dti,0.5413059
Splenium,dti,dti,0.48888725
Splenium,dti,dti,0.6607656
Splenium,dti,dti,0.67766786
Splenium,dti,dti,0.6722804
Splenium,dti,dti,0.6484639
Splenium,dti,dti,0.6013612
Splenium,dti,dti,0.5608835
Splenium,dti,dti,0.52546424
Splenium,dti,dti,0.4927042
Splenium,dti,dti,0.58086234
Splenium,dti,dti,0.64627445
Splenium,dti,dti,0.6651003
Splenium,dti,dti,0.62382036
Splenium,dti,dti,0.5892952
Splenium,dti,dti,0.56035936
Splenium,dti,dti,0.53243077
Splenium,dti,dti,0.50505483
Splenium,dti,dti,0.44659698
Splenium,dti,dti,0.6802038
Splenium,dti,dti,0.65122545
Splenium,dti,dti,0.622308
Splenium,dti,dti,0.59434456
Splenium,dti,dti,0.5686922
Splenium,dti,dti,0.5440376
Splenium,dti,dti,0.48162073
Splenium,dti,dti,0.6903511
Splenium,dti,dti,0.66823304
Splenium,dti,dti,0.6237768
Splenium,dti,dti,0.5882318
Splenium,dti,dti,0.556632
Splenium,dti,dti,0.50268406
Splenium,dti,dti,0.69733655
Splenium,dti,dti,0.64100957
Splenium,dti,dti,0.6011895
Splenium,dti,dti,0.5684085
Splenium,dti,dti,0.52443033
Splenium,dti,dti,0.6789018
Splenium,dti,dti,0.62178695
Splenium,dti,dti,0.59186834
Splenium,dti,dti,0.57334083
Splenium,dti,dti,0.54696375
Splenium,dti,dti,0.6696153
Splenium,dti,dti,0.60898894
Splenium,dti,dti,0.5859224
Splenium,dti,dti,0.57831
Splenium,dti,dti,0.561834
Splenium,dti,dti,0.60902905
Splenium,dti,dti,0.58704275
Splenium,dti,dti,0.58417195
Splenium,dti,dti,0.564585
Splenium,dti,dti,0.5809327
Splenium,dti,dti,0.59798646
Splenium,dti,dti,0.5808769
Splenium,dti,dti,0.55745894
Splenium,dti,dti,0.5648312
Splenium,dti,dti,0.6217262
Splenium,dti,dti,0.61231923
Splenium,dti,dti,0.59138334
Splenium,dti,dti,0.5938224
Splenium,dti,dti,0.5923592
Splenium,dti,dti,0.642686
Splenium,dti,dti,0.6279808
Splenium,dti,dti,0.61778706
Splenium,dti,dti,0.6052635
Splenium,dti,dti,0.5690411
Splenium,dti,dti,0.6373406
Splenium,dti,dti,0.6099085
Splenium,dti,dti,0.5886533
Splenium,dti,dti,0.5448576
Splenium,dti,dti,0.31041753
Splenium,dti,dti,0.43044388
Splenium,dti,dti,0.27152267
Splenium,dti,dti,0.35994273
Splenium,dti,dti,0.4765314
Splenium,dti,dti,0.61448294
Splenium,dti,dti,0.6888518
Splenium,dti,dti,0.73613995
Splenium,dti,dti,0.73097765
